Epoch:1	 Loss:5.546	 lr:0.10000	 acc:0.970%
Epoch:2	 Loss:4.606	 lr:0.10000	 acc:1.038%
Epoch:3	 Loss:4.436	 lr:0.10000	 acc:2.592%
Epoch:4	 Loss:4.120	 lr:0.10000	 acc:5.592%
Epoch:5	 Loss:3.822	 lr:0.10000	 acc:9.186%
Epoch:6	 Loss:3.524	 lr:0.10000	 acc:14.090%
Epoch:7	 Loss:3.175	 lr:0.10000	 acc:20.262%
Epoch:8	 Loss:2.906	 lr:0.10000	 acc:25.804%
Epoch:9	 Loss:2.672	 lr:0.10000	 acc:30.394%
Epoch:10	 Loss:2.480	 lr:0.10000	 acc:34.604%
Epoch:11	 Loss:2.325	 lr:0.10000	 acc:37.996%
Epoch:12	 Loss:2.198	 lr:0.10000	 acc:40.838%
Epoch:13	 Loss:2.088	 lr:0.10000	 acc:43.574%
Epoch:14	 Loss:2.015	 lr:0.10000	 acc:44.906%
Epoch:15	 Loss:1.946	 lr:0.10000	 acc:46.646%
Epoch:16	 Loss:1.920	 lr:0.10000	 acc:47.342%
Epoch:17	 Loss:1.857	 lr:0.10000	 acc:48.858%
Epoch:18	 Loss:1.824	 lr:0.10000	 acc:49.684%
Epoch:19	 Loss:1.785	 lr:0.10000	 acc:50.524%
Epoch:20	 Loss:1.765	 lr:0.10000	 acc:51.160%
Epoch:21	 Loss:1.744	 lr:0.10000	 acc:51.376%
Epoch:22	 Loss:1.720	 lr:0.10000	 acc:51.934%
Epoch:23	 Loss:1.706	 lr:0.10000	 acc:52.440%
Epoch:24	 Loss:1.677	 lr:0.10000	 acc:53.456%
Epoch:25	 Loss:1.675	 lr:0.10000	 acc:53.248%
Epoch:26	 Loss:1.647	 lr:0.10000	 acc:54.252%
Epoch:27	 Loss:1.626	 lr:0.10000	 acc:54.456%
Epoch:28	 Loss:1.624	 lr:0.10000	 acc:54.330%
Epoch:29	 Loss:1.609	 lr:0.10000	 acc:54.986%
Epoch:30	 Loss:1.601	 lr:0.10000	 acc:55.078%
Epoch:31	 Loss:1.586	 lr:0.10000	 acc:55.360%
Epoch:32	 Loss:1.584	 lr:0.10000	 acc:55.542%
Epoch:33	 Loss:1.570	 lr:0.10000	 acc:55.900%
Epoch:34	 Loss:1.561	 lr:0.10000	 acc:56.268%
Epoch:35	 Loss:1.557	 lr:0.10000	 acc:56.062%
Epoch:36	 Loss:1.555	 lr:0.10000	 acc:56.234%
Epoch:37	 Loss:1.559	 lr:0.10000	 acc:56.086%
Epoch:38	 Loss:1.538	 lr:0.10000	 acc:56.652%
Epoch:39	 Loss:1.539	 lr:0.10000	 acc:56.668%
Epoch:40	 Loss:1.537	 lr:0.10000	 acc:56.518%
Epoch:41	 Loss:1.537	 lr:0.10000	 acc:56.846%
Epoch:42	 Loss:1.527	 lr:0.10000	 acc:56.724%
Epoch:43	 Loss:1.512	 lr:0.10000	 acc:57.100%
Epoch:44	 Loss:1.516	 lr:0.10000	 acc:57.274%
